RunID,RunTime,Type,QuestionID,Question,ModelName,Parsed,OK,Note
20250831-185558,2025-08-31 18:55:59 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,,0,parse_failed
20250831-185558,2025-08-31 18:55:59 +0300,binary,578,Will humans go extinct before 2100?,Gemini,0.040000,1,
20250831-185558,2025-08-31 18:55:59 +0300,binary,578,Will humans go extinct before 2100?,Grok,,0,parse_failed
20250831-185558,2025-08-31 18:56:48 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-185558,2025-08-31 18:56:48 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 118.0, ""P20"": 119.0, ""P40"": 121.0, ""P60"": 123.0, ""P80"": 126.0, ""P90"": 130.0}",1,
20250831-185558,2025-08-31 18:56:48 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-185558,2025-08-31 18:57:16 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250831-185558,2025-08-31 18:57:16 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.35, 0.45, 0.15, 0.04, 0.01, 0.0]",1,
20250831-185558,2025-08-31 18:57:16 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250831-185558,2025-08-31 18:58:02 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-185558,2025-08-31 18:58:02 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 1.0, ""P20"": 1.0, ""P40"": 2.0, ""P60"": 3.0, ""P80"": 5.0, ""P90"": 7.0}",1,
20250831-185558,2025-08-31 18:58:02 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-193055,2025-08-31 19:30:57 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,,0,parse_failed
20250831-193055,2025-08-31 19:30:57 +0300,binary,578,Will humans go extinct before 2100?,Gemini,0.070000,1,
20250831-193055,2025-08-31 19:30:57 +0300,binary,578,Will humans go extinct before 2100?,Grok,,0,parse_failed
20250831-193055,2025-08-31 19:31:45 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-193055,2025-08-31 19:31:45 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 115.0, ""P20"": 117.0, ""P40"": 120.0, ""P60"": 124.0, ""P80"": 128.0, ""P90"": 132.0}",1,
20250831-193055,2025-08-31 19:31:45 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-193055,2025-08-31 19:32:18 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250831-193055,2025-08-31 19:32:18 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.55, 0.35, 0.08, 0.01, 0.0, 0.01]",1,
20250831-193055,2025-08-31 19:32:18 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250831-193055,2025-08-31 19:33:04 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250831-193055,2025-08-31 19:33:04 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 1.0, ""P20"": 2.0, ""P40"": 3.0, ""P60"": 5.0, ""P80"": 7.0, ""P90"": 10.0}",1,
20250831-193055,2025-08-31 19:33:04 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-114521,2025-09-01 11:45:22 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,,0,parse_failed
20250901-114521,2025-09-01 11:45:22 +0300,binary,578,Will humans go extinct before 2100?,Gemini,,0,parse_failed
20250901-114521,2025-09-01 11:45:22 +0300,binary,578,Will humans go extinct before 2100?,Grok,,0,parse_failed
